type,name,tag,doi,cit,bib
datasets,binford,v3.2,10.5281/zenodo.17580172,Lewis R. Binford. (2025). D-PLACE dataset derived from Binford 2001 'Constructing Frames of Reference' (v3.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17580172,"@misc{dplace-dataset-binford,
  author    = {Binford, Lewis R.},
  title     = {D-PLACE dataset derived from Binford 2001 'Constructing Frames of Reference'},
  keywords  = {cldf:StructureDataset, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v3.2},
  doi       = {10.5281/zenodo.17580172},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17580172},
  copyright = {cc-by-nc-4.0}
}"
datasets,carneiro4,v1.0.1,10.5281/zenodo.17607789,Robert L. Carneiro. (2025). D-PLACE dataset derived from Robert L. Carneiro's Dataset (4th Edition) (v1.0.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17607789,"@misc{dplace-dataset-carneiro4,
  author    = {Carneiro, Robert L.},
  title     = {D-PLACE dataset derived from Robert L. Carneiro's Dataset (4th Edition)},
  keywords  = {cldf:StructureDataset, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v1.0.1},
  doi       = {10.5281/zenodo.17607789},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17607789},
  copyright = {cc-by-4.0}
}"
datasets,carneiro6,v1.0.1,10.5281/zenodo.17607723,Robert L. Carneiro. (2025). D-PLACE dataset derived from Robert L. Carneiro's Dataset (6th edition) (v1.0.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17607723,"@misc{dplace-dataset-carneiro6,
  author    = {Carneiro, Robert L.},
  title     = {D-PLACE dataset derived from Robert L. Carneiro's Dataset (6th edition)},
  keywords  = {cldf:StructureDataset, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v1.0.1},
  doi       = {10.5281/zenodo.17607723},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17607723},
  copyright = {cc-by-4.0}
}"
datasets,ccmc,v3.2,10.5281/zenodo.17600888,"Mila Bertolo, Martynas Snarskis, Manvir Singh, & Samuel Mehr. (2025). D-PLACE dataset derived from Bertolo et al. 2023 'Cross-cultural music corpus: The Expanded Natural History of Song Discography' (v3.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17600888","@misc{dplace-dataset-ccmc,
  author    = {Bertolo, Mila and Snarskis, Martynas and Singh, Manvir and Mehr, Samuel},
  title     = {D-PLACE dataset derived from Bertolo et al. 2023 'Cross-cultural music corpus: The Expanded Natural History of Song Discography'},
  keywords  = {cldf:StructureDataset, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v3.2},
  doi       = {10.5281/zenodo.17600888},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17600888},
  copyright = {cc-by-4.0}
}"
datasets,ea,v3.2.1,10.5281/zenodo.17602181,"Murdock, G. P., R. Textor, H. Barry, I., D. R. White, J. P. Gray, & W. T. Divale. (2025). D-PLACE dataset derived from Murdock et al. 1999 'Ethnographic Atlas' (v3.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17602181","@misc{dplace-dataset-ea,
  author    = {Murdock, G. P. and Textor, R. and Barry, H. and White, D. R. and Gray, J. P. and Divale, W. T.},
  title     = {D-PLACE dataset derived from Murdock et al. 1999 'Ethnographic Atlas'},
  keywords  = {cldf:StructureDataset, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v3.2.1},
  doi       = {10.5281/zenodo.17602181},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17602181},
  copyright = {cc-by-nc-4.0}
}"
datasets,ecoclimate,v3.2,10.5281/zenodo.17601193,"Lima-Ribeiro MS, Varela S, González-Hernández J, Oliveira G, Diniz-Filho JAF, Peterson AT, & Terribile LC. (2025). D-PLACE dataset derived from Lima-Ribeiro et al. 2015 'ecoClimate' (v3.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17601193","@misc{dplace-dataset-ecoclimate,
  author    = {MS, Lima-Ribeiro and S, Varela and J, González-Hernández and G, Oliveira and JAF, Diniz-Filho and AT, Peterson and LC, Terribile},
  title     = {D-PLACE dataset derived from Lima-Ribeiro et al. 2015 'ecoClimate'},
  keywords  = {cldf:StructureDataset, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v3.2},
  doi       = {10.5281/zenodo.17601193},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17601193},
  copyright = {cc-by-nc-sa-4.0}
}"
datasets,gmted2010,v3.2,10.5281/zenodo.17601586,Earth Resources Observation and Science (EROS) Center. (2025). D-PLACE dataset derived from 'Global Multi-resolution Terrain Elevation Data 2010' (v3.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17601586,"@misc{dplace-dataset-gmted2010,
  author    = {Center, Earth Resources Observation and Science},
  title     = {D-PLACE dataset derived from 'Global Multi-resolution Terrain Elevation Data 2010'},
  keywords  = {cldf:StructureDataset, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v3.2},
  doi       = {10.5281/zenodo.17601586},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17601586},
  copyright = {cc-by-nc-4.0}
}"
datasets,gshhs,v3.2,10.5281/zenodo.17601634,"P. Wessel, & W. H. F. Smith. (2025). D-PLACE dataset derived from Wessel and Smith 2015 'Global Self-consistent, Hierarchical, High-resolution Geography Database' (v3.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17601634","@misc{dplace-dataset-gshhs,
  author    = {Wessel, P. and Smith, W. H. F.},
  title     = {D-PLACE dataset derived from Wessel and Smith 2015 'Global Self-consistent, Hierarchical, High-resolution Geography Database'},
  keywords  = {cldf:StructureDataset, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v3.2},
  doi       = {10.5281/zenodo.17601634},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17601634},
  copyright = {lgpl-3.0}
}"
datasets,jenkins,v3.2,10.5281/zenodo.17601675,"Jenkins, C., SL Pimm, & LN Joppa. (2025). D-PLACE dataset derived from Jenkins et al. 2013 'Global patterns of terrestrial vertebrate diversity and conservation' (v3.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17601675","@misc{dplace-dataset-jenkins,
  author    = {Jenkins, CN and Pimm, SL and Joppa, LN},
  title     = {D-PLACE dataset derived from Jenkins et al. 2013 'Global patterns of terrestrial vertebrate diversity and conservation'},
  keywords  = {cldf:StructureDataset, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v3.2},
  doi       = {10.5281/zenodo.17601675},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17601675},
  copyright = {cc-by-3.0}
}"
datasets,kreft,v3.2,10.5281/zenodo.17601737,"Kreft H., & Jetz W. (2025). D-PLACE dataset derived from Kreft and Jetz 2007 'Global patterns and determinants of vascular plant diversity' (v3.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17601737","@misc{dplace-dataset-kreft,
  author    = {H., Kreft and W., Jetz},
  title     = {D-PLACE dataset derived from Kreft and Jetz 2007 'Global patterns and determinants of vascular plant diversity'},
  keywords  = {cldf:StructureDataset, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v3.2},
  doi       = {10.5281/zenodo.17601737},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17601737},
  copyright = {cc-by-nc-4.0}
}"
datasets,modis,v3.2,10.5281/zenodo.17601800,NASA TERRA/MODIS. (2025). D-PLACE dataset derived from NASA TERRA/MODIS 'Net Primary Productivity' (v3.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17601800,"@misc{dplace-dataset-modis,
  author    = {TERRA/MODIS, NASA},
  title     = {D-PLACE dataset derived from NASA TERRA/MODIS 'Net Primary Productivity'},
  keywords  = {cldf:StructureDataset, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v3.2},
  doi       = {10.5281/zenodo.17601800},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17601800},
  copyright = {cc-by-nc-4.0}
}"
datasets,sccs,v3.2,10.5281/zenodo.17601873,"Murdock, G. P., & White, D. R. (2025). D-PLACE dataset derived from Murdock and White 1969 'Standard Cross-Cultural Sample' (v3.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17601873","@misc{dplace-dataset-sccs,
  author    = {Murdock, George P. and White, Douglas R.},
  title     = {D-PLACE dataset derived from Murdock and White 1969 'Standard Cross-Cultural Sample'},
  keywords  = {cldf:StructureDataset, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v3.2},
  doi       = {10.5281/zenodo.17601873},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17601873},
  copyright = {cc-by-nc-4.0}
}"
datasets,teow,v3.2,10.5281/zenodo.17601927,"Olson, D. M., Dinerstein, E., Wikramanayake, E. D., Burgess, N. D., Powell, G. V. N., Underwood, E. C., D'Amico, J. A., Itoua, I., Strand, H. E., Morrison, J. C., Loucks, C. J., Allnutt, T. F., Ricketts, T. H., Kura, Y., Lamoreux, J. F., Wettengel, W. W., Hedao, P., & Kassem, K. R. (2025). D-PLACE dataset derived from Olson et al. 2001 'Terrestrial Ecoregions of the World' (v3.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17601927","@misc{dplace-dataset-teow,
  author    = {Olson, D. M. and Dinerstein, E. and Wikramanayake, E. D. and Burgess, N. D. and Powell, G. V. N. and Underwood, E. C. and D'Amico, J. A. and Itoua, I. and Strand, H. E. and Morrison, J. C. and Loucks, C. J. and Allnutt, T. F. and Ricketts, T. H. and Kura, Y. and Lamoreux, J. F. and Wettengel, W. W. and Hedao, P. and Kassem, K. R.},
  title     = {D-PLACE dataset derived from Olson et al. 2001 'Terrestrial Ecoregions of the World'},
  keywords  = {cldf:StructureDataset, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v3.2},
  doi       = {10.5281/zenodo.17601927},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17601927},
  copyright = {cc-by-nc-4.0}
}"
datasets,wnai,v3.2,10.5281/zenodo.17602055,"Jorgensen, J. (2025). D-PLACE dataset derived from Jorgensen 1980 'Western Indians' (v3.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17602055","@misc{dplace-dataset-wnai,
  author    = {Jorgensen, JG},
  title     = {D-PLACE dataset derived from Jorgensen 1980 'Western Indians'},
  keywords  = {cldf:StructureDataset, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v3.2},
  doi       = {10.5281/zenodo.17602055},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17602055},
  copyright = {cc-by-nc-4.0}
}"
phylogenies,atkinson2006,v1.3,10.5281/zenodo.17581426,Quentin D. Atkinson. (2025). Phlorest phylogeny derived from Atkinson 2006 'From Species to Languages: a phylogenetic approach to human prehistory' (v1.3) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17581426,"@misc{dplace-phylogeny-atkinson2006,
  author    = {Atkinson, Quentin D.},
  title     = {Phlorest phylogeny derived from Atkinson 2006 'From Species to Languages: a phylogenetic approach to human prehistory'},
  keywords  = {cldf:Generic, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v1.3},
  doi       = {10.5281/zenodo.17581426},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17581426},
  copyright = {cc-zero}
}"
phylogenies,birchall_et_al2016,v1.2,10.5281/zenodo.17581525,"Joshua Birchall, Michael Dunn, & Simon J. Greenhill. (2025). Phlorest phylogeny derived from Birchall et al. 2016 'A combined comparative and phylogenetic analysis of the Chapacuran language family' (v1.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17581525","@misc{dplace-phylogeny-birchall_et_al2016,
  author    = {Birchall, Joshua and Dunn, Michael and Greenhill, Simon J.},
  title     = {Phlorest phylogeny derived from Birchall et al. 2016 'A combined comparative and phylogenetic analysis of the Chapacuran language family'},
  keywords  = {cldf:Generic, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v1.2},
  doi       = {10.5281/zenodo.17581525},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17581525},
  copyright = {cc-by-4.0}
}"
phylogenies,bouckaert_et_al2012,v1.2,10.5281/zenodo.17581594,"R. Bouckaert, P. Lemey, M. Dunn, A. V. Alekseyenko, A. J. Drummond, R. D. Gray, M. A. Suchard, Q. D. Atkinson, & Simon J. Greenhill. (2025). Phlorest phylogeny derived from Bouckaert et al. 2012 'Mapping the Origins and Expansion of the Indo-European Language Family' (v1.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17581594","@misc{dplace-phylogeny-bouckaert_et_al2012,
  author    = {Bouckaert, R. and Lemey, P. and Dunn, M. and Alekseyenko, A. V. and Drummond, A. J. and Gray, R. D. and Suchard, M. A. and Atkinson, Q. D. and Greenhill, Simon J.},
  title     = {Phlorest phylogeny derived from Bouckaert et al. 2012 'Mapping the Origins and Expansion of the Indo-European Language Family'},
  keywords  = {cldf:Generic, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v1.2},
  doi       = {10.5281/zenodo.17581594},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17581594},
  copyright = {cc-by-4.0}
}"
phylogenies,bouckaert_et_al2018,v1.2,10.5281/zenodo.17581679,"Bouckaert, R. R., Bowern, C., & Atkinson, Q. D. (2025). Phlorest phylogeny derived from Bouckaert et al. 2018 'The origin and expansion of Pama–Nyungan languages across Australia' (v1.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17581679","@misc{dplace-phylogeny-bouckaert_et_al2018,
  author    = {Bouckaert, Remco R. and Bowern, Claire and Atkinson, Quentin D.},
  title     = {Phlorest phylogeny derived from Bouckaert et al. 2018 'The origin and expansion of Pama–Nyungan languages across Australia'},
  keywords  = {cldf:Generic, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v1.2},
  doi       = {10.5281/zenodo.17581679},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17581679},
  copyright = {cc-by-4.0}
}"
phylogenies,bowern_and_atkinson2012,v1.2,10.5281/zenodo.17582392,"Claire Bowern, & Quentin Atkinson. (2025). Phlorest phylogeny derived from Bowern & Atkinson 2012 'Computational phylogenetics and the internal structure of Pama-Nyungan' (v1.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17582392","@misc{dplace-phylogeny-bowern_and_atkinson2012,
  author    = {Bowern, Claire and Atkinson, Quentin},
  title     = {Phlorest phylogeny derived from Bowern & Atkinson 2012 'Computational phylogenetics and the internal structure of Pama-Nyungan'},
  keywords  = {cldf:Generic, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v1.2},
  doi       = {10.5281/zenodo.17582392},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17582392},
  copyright = {cc-by-4.0}
}"
phylogenies,chacon_and_list2015,v1.2,10.5281/zenodo.17582630,"Chacon, T. C., & List, J.-M. (2025). Phlorest phylogeny derived from Chacon & List 2015 'Improved computational models of sound change shed light on the history of the Tukanoan languages' (v1.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17582630","@misc{dplace-phylogeny-chacon_and_list2015,
  author    = {Chacon, Thiago Costa and List, Johann-Mattis},
  title     = {Phlorest phylogeny derived from Chacon & List 2015 'Improved computational models of sound change shed light on the history of the Tukanoan languages'},
  keywords  = {cldf:Generic, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v1.2},
  doi       = {10.5281/zenodo.17582630},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17582630},
  copyright = {cc-by-4.0}
}"
phylogenies,chang_et_al2015,v1.2,10.5281/zenodo.17583531,"Chang, W., Cathcart, C., Hall, D., & Garrett, A. (2025). Phlorest phylogeny derived from Chang et al. 2015 'Ancestry-constrained phylogenetic analysis supports the Indo-European steppe hypothesis' (v1.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17583531","@misc{dplace-phylogeny-chang_et_al2015,
  author    = {Chang, Will and Cathcart, Chundra and Hall, David and Garrett, Andrew},
  title     = {Phlorest phylogeny derived from Chang et al. 2015 'Ancestry-constrained phylogenetic analysis supports the Indo-European steppe hypothesis'},
  keywords  = {cldf:Generic, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v1.2},
  doi       = {10.5281/zenodo.17583531},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17583531},
  copyright = {cc-by-4.0}
}"
phylogenies,defilippo_et_al2012,v1.2,10.5281/zenodo.17583636,"Cesare de Filippo, Koen Bostoen, Mark Stoneking, & Brigitte Pakendorf. (2025). Phlorest phylogeny derived from De Filippo et al. 2012 'Bringing together linguistic and genetic evidence to test the Bantu expansion' (v1.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17583636","@misc{dplace-phylogeny-defilippo_et_al2012,
  author    = {de Filippo, Cesare and Bostoen, Koen and Stoneking, Mark and Pakendorf, Brigitte},
  title     = {Phlorest phylogeny derived from De Filippo et al. 2012 'Bringing together linguistic and genetic evidence to test the Bantu expansion'},
  keywords  = {cldf:Generic, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v1.2},
  doi       = {10.5281/zenodo.17583636},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17583636},
  copyright = {cc-by-4.0}
}"
phylogenies,dunn_et_al2011,v1.2,10.5281/zenodo.17583660,"Michael Dunn, S.C. Levinson, Russell D. Gray, & Simon J. Greenhill. (2025). Phlorest phylogeny derived from Dunn et al. 2011 'Evolved structure of language shows lineage-specific trends in word-order universals' (v1.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.17583660","@misc{dplace-phylogeny-dunn_et_al2011,
  author    = {Dunn, Michael and Levinson, S.C. and Gray, Russell D. and Greenhill, Simon J.},
  title     = {Phlorest phylogeny derived from Dunn et al. 2011 'Evolved structure of language shows lineage-specific trends in word-order universals'},
  keywords  = {cldf:Generic, linguistics},
  publisher = {Zenodo},
  year      = {2025},
  edition   = {v1.2},
  doi       = {10.5281/zenodo.17583660},
  type      = {Data set},
  url       = {https://doi.org/10.5281/zenodo.17583660},
  copyright = {cc-by-4.0}
}"
